PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
1630533,99,35,1907.0,275,620,101,339,60,77,42,166,100,49,18,78,171,711
1630534,59,22,1209.0,165,386,81,228,56,69,43,78,67,16,15,41,99,467
1630537,101,51,2438.0,391,954,149,429,151,184,60,281,178,81,19,131,160,1082
1630538,181,6,3481.0,686,1713,365,988,279,329,54,404,535,119,50,250,345,2016
1630539,67,0,613.0,76,134,5,21,22,34,40,94,19,18,32,37,73,179
1630540,104,4,1132.0,109,323,57,202,36,54,17,75,113,51,9,30,105,311
1630541,115,14,1424.0,188,410,89,245,65,89,45,140,74,25,17,47,97,530
1630543,99,27,1583.0,295,524,7,30,155,234,173,258,61,56,145,91,246,752
1630544,127,31,2550.0,428,1089,179,529,107,137,52,274,211,87,23,133,201,1142
1630547,65,0,819.0,118,334,50,158,47,61,30,94,67,21,6,47,78,333
1630549,80,11,944.0,179,320,8,18,59,96,180,180,54,25,47,72,149,425
1630550,102,8,1231.0,119,293,46,150,45,67,47,148,55,30,34,54,92,329
1630552,92,6,1162.0,180,363,33,117,54,85,53,255,86,41,36,50,122,447
1630553,114,24,1809.0,259,722,96,281,109,143,59,147,211,75,30,135,181,723
1630556,120,31,1759.0,182,453,82,246,38,49,90,204,77,57,36,68,165,484
1630557,151,81,3894.0,525,1099,275,704,129,150,86,330,172,67,31,105,190,1454
1630558,155,28,3523.0,533,1242,164,517,81,116,49,222,498,99,39,176,253,1311
1630559,125,41,3261.0,405,808,139,383,328,383,78,308,325,62,39,139,195,1277
1630560,124,6,2124.0,419,959,98,307,238,279,24,232,156,53,15,118,121,1174
1630563,108,32,2116.0,220,592,90,298,102,136,68,184,198,42,50,136,174,632
1630567,151,150,5295.0,922,1948,121,417,348,461,374,695,627,163,116,290,362,2313
1630570,110,22,2051.0,323,590,34,102,143,194,99,338,211,57,40,115,234,823
1630572,127,17,1727.0,251,575,82,250,96,136,175,277,146,37,33,85,132,680
1630573,106,8,1448.0,203,446,159,379,12,17,40,193,81,30,23,32,106,577
1630577,34,6,640.0,118,260,66,164,28,34,20,100,20,12,10,22,52,330
