original_name,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Number of College Seasons,Number of College Teams,Current_Contract,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
tari-eason,112,24.0,2514.0,514,1020,444.0,806.0,70.0,214.0,356,470,254.0,454.0,708,126,182.0,130.0,246.0,302.0,1454,2,2,3527160.0,Houston,Rockets,HOU,Louisiana State,2022,1.0,17.0,17.0
taurean-prince,129,42.0,2604.0,468,1017,338.0,671.0,130.0,346.0,255,355,202.0,345.0,547,145,121.0,63.0,221.0,271.0,1321,4,1,4516000.0,Utah,Jazz,UTA,Baylor,2016,1.0,12.0,12.0
taylor-hendricks,34,34.0,1179.0,184,385,123.0,230.0,61.0,155.0,86,110,80.0,157.0,237,46,31.0,59.0,48.0,68.0,515,1,1,5569920.0,Utah,Jazz,UTA,Central Florida,2023,1.0,9.0,9.0
ja-morant,65,65.0,2295.0,398,821,314.0,576.0,84.0,245.0,333,411,95.0,301.0,396,532,88.0,40.0,249.0,112.0,1213,2,1,34005250.0,Memphis,Grizzlies,MEM,Murray State,2019,1.0,2.0,2.0
terance-mann,140,101.0,3620.0,505,915,451.0,750.0,54.0,165.0,258,385,266.0,444.0,710,269,112.0,34.0,191.0,284.0,1322,4,1,10576923.0,LA,Clippers,LAC,Florida State,2019,2.0,18.0,48.0
terry-rozier,73,45.0,1959.0,307,753,223.0,499.0,84.0,254.0,176,228,71.0,243.0,314,175,110.0,8.0,101.0,116.0,874,2,1,23205221.0,Boston,Celtics,BOS,Louisville,2015,1.0,16.0,16.0
thaddeus-young,31,31.0,917.0,177,370,138.0,277.0,39.0,93.0,52,70,72.0,79.0,151,63,39.0,12.0,67.0,61.0,445,1,1,8000000.0,Philadelphia,76ers,PHI,Georgia Tech,2007,1.0,12.0,12.0
thomas-bryant,69,69.0,1745.0,305,515,277.0,440.0,28.0,75.0,204,284,146.0,282.0,428,84,43.0,84.0,136.0,203.0,842,2,1,2528233.0,Utah,Jazz,UTA,Indiana,2017,2.0,12.0,42.0
tim-hardaway jr.,107,107.0,3560.0,527,1239,325.0,650.0,202.0,589.0,276,381,62.0,378.0,440,225,76.0,33.0,182.0,212.0,1532,3,1,17897728.0,New York,Knicks,NYK,Michigan,2013,1.0,24.0,24.0
tobias-harris,34,33.0,993.0,185,402,162.0,326.0,23.0,76.0,128,170,67.0,180.0,247,44,24.0,29.0,62.0,70.0,521,1,1,39270150.0,Charlotte,Bobcats,CHA,Tennessee,2011,1.0,19.0,19.0
toumani-camara,250,232.0,6842.0,1050,2046,908.0,1584.0,142.0,462.0,506,802,510.0,1206.0,1716,346,238.0,200.0,546.0,686.0,2748,4,2,1119563.0,Phoenix,Suns,PHX,Dayton,2023,2.0,22.0,52.0
trae-young,32,32.0,1133.0,261,618,143.0,290.0,118.0,328.0,236,274,14.0,111.0,125,279,54.0,8.0,167.0,57.0,876,1,1,40064220.0,Dallas,Mavericks,DAL,Oklahoma,2018,1.0,5.0,5.0
trayce-jackson-davis,126,126.0,4098.0,850,1504,850.0,1501.0,0.0,3.0,558,825,352.0,791.0,1143,271,91.0,270.0,241.0,242.0,2258,4,1,1119563.0,Washington,Wizards,WAS,Indiana,2023,2.0,27.0,57.0
